2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200
0,142.5,294.34,497.04,720.93,1013.3,1340.7,1715,2162.4,2660.9,3195.7,3357.5,3926.5,4573.2,5263.2,5914.1,6603.7,7361.3,8120.2,8841.3,9595.2
0,143.01,295.36,498.57,722.97,1015.8,1343.7,1718.5,2166.5,2665.5,3200.8,3363.1,3932.6,4579.9,5270.4,5921.7,6611.9,7370,8129.4,8851,9605.4
0,124.56,255.28,432.33,626.24,866.03,1141.3,1456,1835.4,2256,2689.4,2966.8,3455,4000.7,4565.8,5106.6,5689.8,6333.7,6984.4,7625.4,8363.1
0,125.07,256.29,433.86,628.28,868.58,1144.4,1459.6,1839.4,2260.6,2694.5,2972.4,3461.1,4007.3,4572.9,5114.3,5697.9,6342.4,6993.6,7635.1,8373.3
0,125.41,256.99,434.9,629.66,870.31,1146.5,1462,1842.2,2263.7,2698,2976.2,3465.3,4011.8,4577.8,5119.4,5703.5,6348.2,6999.8,7641.7,8380.2
0,125.69,257.54,435.73,630.77,871.7,1148.1,1463.9,1844.4,2266.2,2700.7,2979.3,3468.6,4015.4,4581.6,5123.6,5707.9,6353,7004.8,7647,8385.8
0,125.93,258.02,436.45,631.73,872.9,1149.6,1465.6,1846.3,2268.4,2703.1,2981.9,3471.5,4018.5,4585,5127.2,5711.7,6357,7009.1,7651.5,8390.6
0,126.15,258.46,437.1,632.6,873.99,1150.9,1467.1,1848.1,2270.3,2705.3,2984.3,3474.1,4021.4,4588,5130.5,5715.2,6360.7,7013,7655.6,8394.9
0,126.35,258.86,437.71,633.41,875,1152.1,1468.5,1849.7,2272.2,2707.3,2986.6,3476.5,4024,4590.9,5133.5,5718.5,6364.2,7016.7,7659.5,8399
0,126.55,259.25,438.3,634.19,875.98,1153.3,1469.9,1851.3,2273.9,2709.3,2988.7,3478.9,4026.5,4593.6,5136.4,5721.6,6367.5,7020.2,7663.2,8402.9
0,126.74,259.63,438.87,634.96,876.93,1154.4,1471.2,1852.8,2275.6,2711.2,2990.8,3481.2,4029,4596.3,5139.3,5724.6,6370.7,7023.6,7666.8,8406.7
0,126.93,260.02,439.45,635.72,877.89,1155.6,1472.6,1854.3,2277.4,2713.1,2992.9,3483.4,4031.5,4599,5142.2,5727.7,6374,7027.1,7670.5,8410.5
0,127.12,260.41,440.03,636.5,878.86,1156.7,1473.9,1855.9,2279.1,2715,2995.1,3485.8,4034,4601.7,5145.1,5730.8,6377.3,7030.6,7674.2,8414.4
0,127.33,260.81,440.64,637.31,879.88,1157.9,1475.4,1857.5,2280.9,2717.1,2997.3,3488.2,4036.7,4604.5,5148.1,5734.1,6380.8,7034.2,7678,8418.5
0,127.54,261.25,441.29,638.18,880.96,1159.3,1476.9,1859.2,2282.9,2719.3,2999.7,3490.8,4039.5,4607.6,5151.4,5737.5,6384.5,7038.1,7682.1,8422.8
0,127.78,261.73,442.01,639.14,882.16,1160.7,1478.6,1861.2,2285.1,2721.6,3002.3,3493.7,4042.6,4610.9,5155,5741.4,6388.5,7042.4,7686.7,8427.6
0,128.06,262.28,442.84,640.25,883.55,1162.4,1480.5,1863.4,2287.5,2724.4,3005.4,3497,4046.2,4614.8,5159.1,5745.8,6393.2,7047.4,7692,8433.2
0,128.41,262.97,443.88,641.64,885.28,1164.4,1482.9,1866.2,2290.7,2727.9,3009.2,3501.2,4050.7,4619.7,5164.3,5751.3,6399.1,7053.7,7698.6,8440.1
0,128.92,263.99,445.41,643.68,887.83,1167.5,1486.5,1870.2,2295.3,2733,3014.8,3507.3,4057.4,4626.8,5172,5759.5,6407.8,7062.8,7708.2,8450.3
0,127.41,261.96,436.42,625.22,863.15,1131.4,1435.3,1794.9,2191.6,2608.3,2734.5,3161,3644.8,4150.7,4622.7,5126,5684.5,6243.1,6786.4,7421.3
0,127.92,262.98,437.95,627.26,865.7,1134.5,1438.8,1799,2196.2,2613.4,2740.1,3167.1,3651.4,4157.8,4630.4,5134.2,5693.2,6252.3,6796.1,7431.5
0,128.27,263.67,438.99,628.64,867.43,1136.6,1441.3,1801.7,2199.3,2616.8,2743.9,3171.3,3655.9,4162.7,4635.6,5139.7,5699.1,6258.6,6802.7,7438.5
0,128.55,264.23,439.82,629.75,868.82,1138.2,1443.2,1804,2201.8,2619.6,2746.9,3174.6,3659.5,4166.5,4639.7,5144.2,5703.8,6263.5,6808,7444
0,128.78,264.71,440.54,630.71,870.02,1139.7,1444.9,1805.9,2204,2622,2749.6,3177.5,3662.6,4169.9,4643.3,5148,5707.9,6267.9,6812.5,7448.8
0,129,265.14,441.19,631.58,871.1,1141,1446.4,1807.6,2205.9,2624.2,2751.9,3180.1,3665.5,4172.9,4646.6,5151.5,5711.6,6271.8,6816.6,7453.1
